ID,Model,Date Aquired,VIN or Serial,License,Assigned Location,Vehicle,Tag,Service Info
G117,Tub Grinder Dura-Tec HD-12,12/31/2019,*,*,div 18,Photos/Library/G117-P.jpg,Photos/Library/G117-T.jpg,N/A
G118,Salem Bark Processing Line w/ Salem Hammer Mill,*,*,*,*,Photos/Library/G118-P.jpg,Photos/Library/G118-T.jpg,N/A
G119,Salem Processing Line (Beside Sahara),*,*,*,*,Photos/Library/G119-P.jpg,Photos/Library/G119-T.jpg,N/A
D128,Dozer 1987 Caterpillar D8N,12/31/2019,9TC1106,*,div 18,Photos/Library/D128-P.jpg,Photos/Library/D128-T.jpg,N/A
L144,Loader 1978 Caterpillar 930,12/31/2019,41K7759,N/A,div 18,Photos/Library/L144-P.jpg,Photos/Library/L144-T.jpg,N/A
L145,Loader 1999 Caterpillar 938G,12/31/2019,4YS1505,*,div 18,Photos/Library/L145-P.jpg,Photos/Library/L145-T.jpg,N/A
L145,Loader 2004 Caterpillar 928G,12/31/2019,6XR3670,*,div 18,Photos/Library/L145-P.jpg,Photos/Library/L145-T.jpg,N/A
L147,Loader 2007 Caterpillar 928G,12/31/2019,DJD2771,*,div 18,Photos/Library/L147-P.jpg,Photos/Library/L147-T.jpg,N/A
L148,"Track Loader, 1978 Caterpillar 963",12/31/2019,7/25/2208,*,div 18,Photos/Library/L148-P.jpg,Photos/Library/L148-T.jpg,N/A
P148,"Paint Machine, SAHARA X2",*,*,*,*,Photos/Library/P148-P.jpg,Photos/Library/P148-T.jpg,N/A
OE88,Sullair 375 Portable Air Compressor,*,*,*,*,Photos/Library/OE88-P.jpg,Photos/Library/OE88-T.jpg,N/A
OE87,Truck Dump diesel powered,*,*,*,*,Photos/Library/OE87-P.jpg,Photos/Library/OE87-T.jpg,N/A
LM2,John Deere Mower,*,*,*,*,Photos/Library/LM2-P.jpg,Photos/Library/LM2-T.jpg,N/A
LM3,Kabota Mower,*,*,*,*,Photos/Library/LM3-P.jpg,Photos/Library/LM3-T.jpg,N/A
TRL246,Lowboy 1973 ROGERS,12/31/2019,16801C,*,div 18,Photos/Library/TRL246-P.jpg,Photos/Library/TRL246-T.jpg,N/A
TRL247,Trailer 1989 PEERLESS,12/31/2019,1PLE04023KPC20440,*,div 18,Photos/Library/TRL247-P.jpg,Photos/Library/TRL247-T.jpg,N/A
TRL248,Trailer 1990 PEERLESS,12/31/2019,1PLE04027LPC28400,*,div 18,Photos/Library/TRL248-P.jpg,Photos/Library/TRL248-T.jpg,N/A
TRL238,Trailer 1998 PEERLESS,12/31/2019,1PLE0421WPA26740,*,div 18,Photos/Library/TRL238-P.jpg,Photos/Library/TRL238-T.jpg,N/A
TRL239,Trailer 1998 PEERLESS,12/31/2019,1PLE04025WPA26541,*,div 18,Photos/Library/TRL239-P.jpg,Photos/Library/TRL239-T.jpg,N/A
TRL240,Trailer 1999 PEERLESS,12/31/2019,1PLE0423XPA28104,*,div 18,Photos/Library/TRL240-P.jpg,Photos/Library/TRL240-T.jpg,N/A
TRL241,Trailer 1999 PEERLESS,12/31/2019,1PLE0421XPA28103,*,div 18,Photos/Library/TRL241-P.jpg,Photos/Library/TRL241-T.jpg,N/A
TRL242,Trailer 2000 PEERLESS,12/31/2019,1PLE04024YPE31554,*,div 18,Photos/Library/TRL242-P.jpg,Photos/Library/TRL242-T.jpg,N/A
TRL243,Trailer 2003 PEERLESS,12/31/2019,1PLE040223PC53236,*,div 18,Photos/Library/TRL243-P.jpg,Photos/Library/TRL243-T.jpg,N/A
TRL244,Trailer 2003 PEERLESS,12/31/2019,1PLE040243PC53237,*,div 18,Photos/Library/TRL244-P.jpg,Photos/Library/TRL244-T.jpg,N/A
TRL245,Utility Trailer 2015 Hawkee,12/31/2019,4BABD1022FM032446,*,div 18,Photos/Library/TRL245-P.jpg,Photos/Library/TRL245-T.jpg,N/A
T257,Road Tractor 2004 Western Star,12/31/2019,5KJJABAVX4PM81804,*,div 18,Photos/Library/T257-P.jpg,Photos/Library/T257-T.jpg,N/A
T258,Road Tractor 2006 International,12/31/2019,2HSCKSCR16C292778,*,div 18,Photos/Library/T258-P.jpg,Photos/Library/T258-T.jpg,N/A
T36,Dump Truck 2003 International,12/31/2019,1HTMMAAL53H582240,*,div 18,Photos/Library/T36-P.jpg,Photos/Library/T36-T.jpg,N/A
T259,Pick Up Truck 1986 Cheverolett,12/31/2019,2GCFC24H0G1114771,*,div 18,Photos/Library/T259-P.jpg,Photos/Library/T259-T.jpg,N/A
G115,Grinder Morbark 4600XLT,11/2/2017,188-1161,*,div 11,Photos/Library/G115-P.jpg,Photos/Library/G115-T.jpg,N/A
D137,Bulldozer John Deere 450H,11/30/2005,TO450HX940179,N/A,div 11,Photos/Library/D137-P.jpg,Photos/Library/D137-T.jpg,N/A
E121,Excavator Volvo EC290BLC (2004),12/21/2015,290B12213,*,div 11,Photos/Library/E121-P.jpg,Photos/Library/E121-T.jpg,N/A
L130,Loader JohnDeere 544K,9/23/2013,1DW544KZHCE648166,N/A,div 16,Photos/Library/L130-P.jpg,Photos/Library/L130-T.jpg,N/A
