
ID,Brand,Model,Vin,Photo,Tag
T28,International,4300 SBA 4x2,1HTMMAANX4H611198,"Photos/library/T28-P.jpg","Photos/library/T28-T.jpg"
T52,International,7600 SFA 6x4 2010,3HTGRSNT@JN327336,"Photos/library/T52-P.jpg","Photos/library/T52-T.jpg"
T106,Volvo,VHD 2006,4V5K99GH16N417394,"Photos/library/T106-P.jpg","Photos/library/T106-T.jpg"
T202,Ram,5500,BG546781,"Photos/library/T202-P.jpg","Photos/library/T202-T.jpg"
T215,Ford,F750 4x2,3FRNF75S68V662145,"Photos/library/T215-P.jpg","Photos/library/T215-T.jpg"
L41,John Deere,344J Loader,LU344JX814962,"Photos/library/L41-P.jpg","Photos/library/L41-T.jpg"
L125,John Deere,624J Loader,DW624JZ621073,"Photos/library/L125-P.jpg","Photos/library/L125-T.jpg"
L131,John Deere,624K Loader,1DW624KTEDE656907,"Photos/library/L131-P.jpg","Photos/library/L131-T.jpg"
L137,John Deere,724K Loader,1DW724KZPDE655317,"Photos/library/L137-P.jpg","Photos/library/L137-T.jpg"
L138,John Deere,724K Loader,1DW724KZTFF668483,"Photos/library/L138-P.jpg","Photos/library/L138-T.jpg"
L141,John Deere,624K-II Loader,1DW624KZKHF679226,"Photos/library/L141-P.jpg","Photos/library/L141-T.jpg"
L142,John Deere,624K-II Loader,1DW624KTJJF685644,"Photos/library/L142-P.jpg","Photos/library/L142-T.jpg"
L143,John Deere,624K Loader,1DW624KZCC5676692,"Photos/library/L143-P.jpg","Photos/library/L143-T.jpg"
